CASEID,YEAR,ID,AGE,SEX,RACECEN1,HISPANIC,EDUC,MARHOMO
59712,2016,113,52,1,10,1,14,5
59713,2016,114,48,1,1,22,14,0
59714,2016,115,32,2,10,1,20,0
59715,2016,116,29,2,1,1,17,1
59716,2016,117,75,2,1,1,19,1
59717,2016,118,59,2,1,1,19,0
59718,2016,119,81,1,1,1,13,1
59719,2016,120,69,2,1,1,12,0
59720,2016,121,55,2,1,1,18,1
59721,2016,122,52,2,1,1,15,1
59722,2016,123,33,2,1,41,16,1
59723,2016,124,56,1,1,1,12,2
59724,2016,125,71,1,1,1,16,0
59725,2016,126,21,1,1,15,15,0
59726,2016,127,49,2,1,1,12,1
59727,2016,128,26,1,1,1,16,1
59728,2016,129,33,2,1,1,16,0
59729,2016,130,36,1,1,22,20,1
59730,2016,131,68,1,2,1,12,0
59731,2016,132,27,2,2,1,16,1
59732,2016,133,60,2,2,1,14,3
59733,2016,134,48,1,1,1,12,1
59734,2016,135,47,2,2,1,12,3
59735,2016,136,36,2,1,1,14,2
59736,2016,137,89,2,1,1,12,0
59737,2016,138,64,2,1,1,12,1
59738,2016,139,38,2,1,1,16,1
59739,2016,140,62,1,1,1,12,2
59740,2016,141,62,2,1,1,16,1
59741,2016,142,65,2,1,1,14,1
59742,2016,143,60,1,1,1,14,2
59743,2016,144,47,2,1,1,16,1
59744,2016,145,62,1,1,1,14,0
59745,2016,146,51,2,1,1,16,0
59746,2016,147,43,2,1,1,16,1
59747,2016,148,47,1,9,1,14,0
59748,2016,149,57,2,1,1,12,0
59749,2016,150,30,1,1,1,16,1
59750,2016,151,39,1,1,1,18,1
59751,2016,152,37,2,1,1,15,0
59752,2016,153,52,2,4,1,12,2
59753,2016,154,61,2,16,2,18,1
59754,2016,155,58,1,1,1,12,2
59755,2016,156,31,1,1,24,14,2
59756,2016,157,52,2,10,1,16,1
59757,2016,158,46,2,1,2,16,1
59758,2016,159,25,2,1,2,13,0
59759,2016,160,54,1,3,2,12,2
59760,2016,161,33,2,6,1,15,0
59761,2016,162,33,1,4,1,18,1
59762,2016,163,61,2,1,1,12,1
59763,2016,164,65,2,1,2,99,3
59764,2016,165,53,2,1,2,12,0
59765,2016,166,66,2,14,1,11,5
59766,2016,167,41,2,1,2,12,1
59767,2016,168,57,2,1,1,13,0
59768,2016,169,50,1,2,1,12,1
59769,2016,170,75,1,2,1,14,5
59770,2016,171,22,2,2,1,11,0
59771,2016,172,27,1,1,1,14,1
59772,2016,173,20,2,1,2,12,0
59773,2016,174,55,1,1,1,20,1
59774,2016,175,49,2,1,20,14,0
59775,2016,176,51,2,3,2,14,1
59776,2016,177,56,1,1,1,16,1
59777,2016,178,41,2,5,1,18,2
59778,2016,179,67,1,1,2,14,2
59779,2016,180,38,2,2,1,12,2
59780,2016,181,76,2,6,1,16,4
59781,2016,182,66,1,2,1,14,2
59782,2016,183,84,2,6,1,17,2
59783,2016,184,32,1,2,1,12,0
59784,2016,185,46,1,2,1,16,1
59785,2016,186,25,1,7,1,13,0
59786,2016,187,67,1,1,1,18,2
59787,2016,188,34,1,2,1,12,2
59788,2016,189,29,2,16,2,8,3
59789,2016,190,51,2,1,2,1,0
59790,2016,191,39,2,16,5,14,2
59791,2016,192,39,2,16,2,9,0
59792,2016,193,51,2,1,6,2,4
59793,2016,194,40,2,15,2,8,3
59794,2016,195,32,1,1,5,9,3
59795,2016,196,38,1,1,2,14,0
59796,2016,197,79,2,1,1,13,4
59797,2016,198,49,1,6,1,16,4
59798,2016,199,22,1,1,2,15,2
59799,2016,200,30,1,2,1,16,2
59800,2016,201,47,1,1,1,15,1
59801,2016,202,55,1,1,2,12,0
59802,2016,203,30,1,1,3,16,0
59803,2016,204,29,1,2,1,16,0
59804,2016,205,37,1,1,1,16,1
59805,2016,206,67,2,1,1,20,0
59806,2016,207,38,2,16,5,16,5
59807,2016,208,81,2,1,1,11,0
59808,2016,209,35,1,2,1,14,0
59809,2016,210,46,1,1,1,20,3
59810,2016,211,37,1,1,1,12,0
59811,2016,212,21,1,98,6,15,2
59812,2016,213,43,1,1,1,12,1
59813,2016,214,45,2,1,1,16,2
59814,2016,215,76,2,1,1,19,0
59815,2016,216,77,1,1,1,12,4
59816,2016,217,61,2,1,1,16,0
59817,2016,218,45,2,1,46,12,3
59818,2016,219,47,1,1,1,13,4
59819,2016,220,41,1,1,2,16,1
59820,2016,221,19,2,2,47,12,0
59821,2016,222,50,1,16,2,6,4
59822,2016,223,25,1,9,1,17,1
59823,2016,224,45,1,1,1,18,1
59824,2016,225,21,1,1,2,14,0
59825,2016,226,48,2,9,1,12,5
59826,2016,227,25,1,4,1,17,1
59827,2016,228,31,1,1,2,16,0
59828,2016,229,33,2,1,2,18,1
59829,2016,230,72,1,1,1,16,0
59830,2016,231,70,2,1,1,12,5
59831,2016,232,66,2,1,1,16,1
59832,2016,233,57,2,5,1,18,0
59833,2016,234,81,1,1,1,19,2
59834,2016,235,23,1,1,1,16,0
59835,2016,236,48,2,1,2,19,2
59836,2016,237,62,2,1,1,18,3
59837,2016,238,43,1,1,1,12,4
59838,2016,239,34,2,1,1,16,1
59839,2016,240,36,1,16,2,12,0
59840,2016,241,37,1,16,2,12,0
59841,2016,242,32,1,1,2,14,2
59842,2016,243,53,2,16,2,7,0
59843,2016,244,42,1,1,1,12,0
59844,2016,245,51,1,16,30,12,5
59845,2016,246,44,2,4,1,17,1
59846,2016,247,36,2,1,1,13,2
59847,2016,248,49,1,1,1,15,0
59848,2016,249,49,2,3,2,12,0
59849,2016,250,35,2,1,1,16,3
59850,2016,251,47,1,1,1,20,0
59851,2016,252,29,1,2,1,14,0
59852,2016,253,36,1,2,1,18,1
59853,2016,254,31,1,1,30,12,0
59854,2016,255,19,1,2,1,12,4
59855,2016,256,25,1,2,1,12,0
59856,2016,257,30,2,1,2,16,2
59857,2016,258,62,1,1,1,13,1
59858,2016,259,35,2,1,1,20,1
59859,2016,260,41,1,16,2,14,3
59860,2016,261,62,2,1,1,20,1
59861,2016,262,20,1,1,2,13,1
59862,2016,263,42,1,1,2,12,0
59863,2016,264,30,2,2,1,13,4
59864,2016,265,26,2,16,24,17,0
59865,2016,266,58,2,1,41,16,0
59866,2016,267,47,2,1,1,12,1
59867,2016,268,61,2,2,1,13,0
59868,2016,269,44,1,1,2,11,5
59869,2016,270,75,2,1,1,18,0
59870,2016,271,44,2,1,1,18,1
59871,2016,272,36,2,1,2,16,0
59872,2016,273,62,2,1,1,16,1
